,count,mean,std,min,25%,50%,75%,max
undergrad_gpa,4315.0,2.054155272305909,1.9083110808415806,0.0,0.0,3.4,3.89,9.99
gre_general,4315.0,20.202317497103127,55.824121072068344,0.0,0.0,0.0,0.0,365.0
gre_verbal,4315.0,16.98146002317497,49.741195097773016,0.0,0.0,0.0,0.0,514.0
gre_aw,4315.0,0.5207323290845887,3.3087854453382666,0.0,0.0,0.0,0.0,99.99
